id,ra,dec,cutout_r,cutout_g
1237645942372828259,66.70534068684731,-0.3280721663770497,E:\NUS\galaxy\data\fits\1237645942372828259\1237645942372828259_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942372828259\1237645942372828259_g_cutout.fits
1237645942906749718,60.04701057212333,0.2050316897708347,E:\NUS\galaxy\data\fits\1237645942906749718\1237645942906749718_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906749718\1237645942906749718_g_cutout.fits
1237645942906814739,60.093205067966096,0.07048656063410601,E:\NUS\galaxy\data\fits\1237645942906814739\1237645942906814739_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906814739\1237645942906814739_g_cutout.fits
1237645942906814921,60.059301462313556,0.01448528258196228,E:\NUS\galaxy\data\fits\1237645942906814921\1237645942906814921_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906814921\1237645942906814921_g_cutout.fits
1237645942906814923,60.06041476655997,0.1761420376915715,E:\NUS\galaxy\data\fits\1237645942906814923\1237645942906814923_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906814923\1237645942906814923_g_cutout.fits
1237645942906814928,60.061761535830556,0.07321094087713403,E:\NUS\galaxy\data\fits\1237645942906814928\1237645942906814928_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906814928\1237645942906814928_g_cutout.fits
1237645942906815096,60.19432605095295,0.17210944813939622,E:\NUS\galaxy\data\fits\1237645942906815096\1237645942906815096_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645942906815096\1237645942906815096_g_cutout.fits
1237645943446504336,66.63240065972661,0.5726032931359546,E:\NUS\galaxy\data\fits\1237645943446504336\1237645943446504336_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645943446504336\1237645943446504336_g_cutout.fits
1237645943446569567,66.67531351969421,0.4327071868304719,E:\NUS\galaxy\data\fits\1237645943446569567\1237645943446569567_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645943446569567\1237645943446569567_g_cutout.fits
1237645943446569911,66.63832854398981,0.4439158270184573,E:\NUS\galaxy\data\fits\1237645943446569911\1237645943446569911_r_cutout.fits,E:\NUS\galaxy\data\fits\1237645943446569911\1237645943446569911_g_cutout.fits
