id,rowOrder,objid,ra,dec,size,color
Table1,0,1237657584942448656,22.44975049383848,-0.9670310945216424,3.65300679,0.876564
Table2,1,1237660750333018120,66.41811742336849,22.681578646938,2.97027373,1.751915
Table3,2,1237660750333018135,66.30075463104274,22.695914493144127,1.17726326,1.69314194
Table4,3,1237678578742263828,329.01034312549984,19.384793338659907,8.297217,0.6844349
Table5,4,1237678578742263829,329.01374392892933,19.38260198075828,1.76226068,0.6294098
Table6,5,1237678578742263831,329.0113016973778,19.387090083337227,6.763253,0.5277748
Table7,6,1237678578742263834,329.0130930036478,19.37916838812927,2.96979427,1.56393051
Table8,7,1237667725359906846,82.83509523025651,9.545007728785354,2.969573,6.609474
Table9,8,1237667725359906862,82.89687192627107,9.526192024328129,4.21308231,0.609196663
Table10,9,1237678578742263838,329.0213505556042,19.3754126764998,3.80140638,0.9959278
Table11,10,1237669516361269302,344.299615339405,5.779339591603064,2.26245761,1.71524239
Table12,11,1237669516361269303,344.3034935562393,5.77588854484843,0.9222953,1.40148544
Table13,12,1237669516361269304,344.3038683015864,5.7711866057383805,18.0171471,2.10344124
Table14,13,1237669516361269306,344.30708378734886,5.776690416436189,1.134546,-0.203813553
Table15,14,1237669516361269307,344.30799730857206,5.771681443578292,0.9237516,2.27926826
Table16,15,1237669516361269322,344.3108146834118,5.897086332691113,2.96960425,0.97457695
Table17,16,1237680263996112902,350.3333320627827,-6.946139607270804,2.96939063,-0.353738785
Table18,17,1237680263996112903,350.3331294078662,-6.952729731146528,2.96939063,1.39114571
Table19,18,1237669516361269265,344.24083554959805,5.890269487480617,1.40047348,-0.339271545
Table20,19,1237666209236910100,249.842237895246,28.574591257473255,4.087662,0.7551346
Table21,20,1237666209236910104,249.8616512288372,28.59061701956813,1.81799722,3.66991425
Table22,21,1237650004324843565,326.039196790436,-1.2796057502349951,3.089188,4.864647
Table23,22,1237674893660323861,304.2864813504221,29.82023746160985,1.53213966,1.69103241
