id,rowOrder,objid,ra,dec,size,color
Table1,0,1237657584942448656,22.44975,-0.9670311,3.653007,0.876564
Table2,1,1237660750333018120,66.41811,22.68158,2.970274,1.751915
Table3,2,1237660750333018135,66.30076,22.69592,1.177263,1.693142
Table4,3,1237678578742263828,329.0103,19.38479,8.297217,0.6844349
Table5,4,1237678578742263829,329.0137,19.3826,1.762261,0.6294098
Table6,5,1237678578742263831,329.0113,19.38709,6.763253,0.5277748
Table7,6,1237678578742263834,329.0131,19.37917,2.969794,1.563931
Table8,7,1237667725359906846,82.8351,9.545008,2.969573,6.609474
Table9,8,1237667725359906862,82.89687,9.526192,4.213082,0.6091967
Table10,9,1237678578742263838,329.0214,19.37541,3.801406,0.9959278
Table11,10,1237669516361269302,344.2996,5.77934,2.262458,1.715242
Table12,11,1237669516361269303,344.3035,5.775888,0.9222953,1.401485
Table13,12,1237669516361269304,344.3039,5.771187,18.01715,2.103441
Table14,13,1237669516361269306,344.3071,5.77669,1.134546,-0.2038136
Table15,14,1237669516361269307,344.308,5.771681,0.9237516,2.279268
Table16,15,1237669516361269322,344.3108,5.897086,2.969604,0.974577
Table17,16,1237680263996112902,350.3333,-6.94614,2.969391,-0.3537388
Table18,17,1237680263996112903,350.3331,-6.95273,2.969391,1.391146
Table19,18,1237669516361269265,344.2408,5.890269,1.400473,-0.3392715
Table20,19,1237666209236910100,249.8422,28.57459,4.087662,0.7551346
Table21,20,1237666209236910104,249.8616,28.59062,1.817997,3.669914
Table22,21,1237650004324843565,326.0392,-1.279606,3.089188,4.864647
Table23,22,1237674893660323861,304.2865,29.82024,1.53214,1.691032
Table24,23,1237679433440755772,350.8731,-3.481863,1.79708,0.9089241
Table25,24,1237679433440755777,350.8899,-3.484791,1.681913,1.590057
Table26,25,1237679433440755780,350.8616,-3.512493,1.593211,2.42226
Table27,26,1237679433440755785,350.8761,-3.488972,2.048734,2.209612
Table28,27,1237666300525019164,340.463,-0.1129131,7.358108,2.144939
Table29,28,1237666300525019165,340.4605,-0.1176079,1.516642,0.4926472
Table30,29,1237666300525019168,340.4749,-0.04996363,4.137795,0.3755264
Table31,30,1237666300525019173,340.4823,-0.05547804,2.969528,2.486738
Table32,31,1237663228529737741,245.3415,75.46455,5.639373,1.051529
Table33,32,1237663228529737742,245.3513,75.46775,2.222245,1.01293
Table34,33,1237663228529737743,245.3353,75.46752,1.571521,1.286386
Table35,34,1237663228529737747,245.4303,75.46382,4.63689,1.77866
Table36,35,1237663228529737752,245.2677,75.54369,3.950105,1.526247
Table37,36,1237660191987597332,310.3284,-1.156783,2.969748,1.407093
Table38,37,1237660191987597339,310.3291,-1.198183,1.738983,1.365406
Table39,38,1237663889954111492,20.2556,-1.155053,2.969953,2.2661
Table40,39,1237663889954111496,20.26192,-1.065922,2.230763,1.443201
Table41,40,1237663889954111497,20.26149,-1.063469,2.901321,1.398735
Table42,41,1237663889954111499,20.25971,-1.067932,2.387214,0.6832352
Table43,42,1237663889954111501,20.26173,-1.056255,1.635829,2.266483
Table44,43,1237666209236910106,249.8563,28.58493,2.969805,0.3123493
Table45,44,1237666209236910113,249.8627,28.59994,2.969805,-0.3242416
Table46,45,1237666209236910116,249.8346,28.57409,2.341067,0.1548576
Table47,46,1237666209236910119,249.8739,28.62511,1.853896,1.845112
Table48,47,1237666209236910120,249.8495,28.55595,1.247528,3.340919
Table49,48,1237666209236910121,249.875,28.59066,1.580453,1.027502
Table50,49,1237666209236910122,249.8364,28.5714,1.526767,2.014214
Table51,50,1237666209236910126,249.8832,28.60133,1.421814,1.211895
Table52,51,1237666209236910127,249.8788,28.62789,1.437398,1.08672
Table53,52,1237660750333018146,66.24847,22.69875,2.970274,8.544697
Table54,53,1237660750333018152,66.24211,22.70048,2.970274,0.8747787
Table55,54,1237660750333018154,66.24141,22.70345,2.970274,0.7791443
Table56,55,1237660750333018156,66.24862,22.7105,2.970274,2.204193
Table57,56,1237660750333018164,66.36962,22.70555,19.04908,0.8948374
Table58,57,1237667205668864053,71.23267,56.80701,2.969822,-3.4065
Table59,58,1237667205668864063,71.23413,56.80389,2.969822,0.6271
Table60,59,1237667205668864071,71.10666,56.88459,2.969822,0.9699421
