z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
-1.3137002,-1.8842676,2.3818994,-1.3649669,0.31150472,1.3466234,-1.2524706,1.5262978,-2.3520362,-0.13915896,-2.417225,4.2586803,4.284643,-0.90449214,-2.7238564,1.8456905,-5.231561,-1.4826037,2.7189262,0.51347774,-4.6537094,2.529522,-1.3176227,1.239149,5.671735,2.657067,2.244781,1.777624,2.0000088,-5.369834,-1.1055795,-2.783484
-12.267721,-1.765651,-8.128519,-0.38400102,4.078334,-2.6115017,-1.4938359,-3.9287412,6.697446,-3.5632048,8.27223,-7.366791,1.3914328,2.5490615,-2.3972077,4.072819,8.689066,-2.4552057,0.62673795,6.328655,3.8760874,-8.914135,-2.0218172,-11.122587,2.3360226,-6.430617,7.6941776,-4.945429,-10.243599,-0.9109326,-3.9835644,-1.7802372
0.92224526,-0.7629775,-1.6877066,1.3541241,-0.87799776,-3.5484602,0.46970886,3.006599,2.5656514,3.176373,-0.196512,-1.6923596,-1.1878229,1.9859148,3.8641372,-2.9104033,3.7945776,-0.23293361,-0.9299857,1.1354021,2.1357827,-1.3100327,4.0066524,-1.1524179,0.6566583,4.9255733,-1.298028,-2.8489194,-0.47432414,2.3038614,-3.1195526,0.9074356
3.1406384,-4.2078094,-9.285228,2.721433,-3.6212914,-0.2981813,-0.49229375,1.4824756,3.4893656,-3.7506366,-2.2000194,-5.8650694,-3.6070633,1.3479431,5.6285114,-0.90039337,6.9447403,3.7836928,-2.3195891,8.000634,6.8237953,-4.177474,5.121132,-3.9932148,3.282162,-2.5750628,-1.1067983,-1.0955402,-1.3142043,2.067114,-2.6069772,-0.6675404
-0.16740108,0.29049036,3.147417,-3.2491474,1.5230502,-4.579799,2.0964105,-0.15773863,2.2279074,3.3782854,-1.4308324,2.1890507,2.9980416,-4.122953,2.4543123,-3.2055554,-3.8909607,-1.8951415,4.7400227,-1.1253402,-0.3681364,3.6498036,2.6971695,-0.7603259,5.489337,3.114353,3.7622643,2.502904,0.44797045,-1.9429421,-3.2271693,-1.4176693
0.079918504,-1.4778275,4.4659224,-1.6604153,1.0049329,-1.2423544,-0.7939711,1.5691442,-0.6021028,2.5362976,-0.9142693,3.6325235,4.3903856,0.12310654,-0.5680697,-0.31021953,-3.41085,-2.8974009,1.029415,-2.481745,-3.0043573,3.198846,2.0012414,0.88673764,2.0695403,4.1003227,0.43180737,-2.0607963,3.63996,-3.3455653,-1.8916199,0.34046096
0.5129098,0.09205687,2.7808073,-1.7150723,1.8506384,-0.35403168,-0.5591732,2.3894,-1.1683768,3.9981112,-2.4476452,2.5144842,4.7532854,1.0923897,-1.7392519,-0.061694264,-0.05984837,-3.0391982,1.4687617,0.9260727,-3.936528,1.2285115,1.336129,1.325442,3.045654,6.924526,-1.6593462,-0.53186715,-0.8341803,-0.9640576,-3.2307677,-1.0615915
0.2210165,-2.8459642,0.07051262,0.6759211,0.6773067,3.1114316,-1.4128921,2.7584808,-2.1928678,-0.29950118,-2.1813765,1.7054673,3.742147,0.7221696,-4.027957,3.7519965,-0.6759905,-0.49019194,0.5143907,3.1709814,-4.4846635,0.57338876,-1.194399,2.3538465,3.3353758,2.6753216,-1.695308,1.5342107,1.0872579,-3.2341878,-0.037400305,-2.6767952
0.8060465,-0.98959,-1.4523194,-0.014885783,-2.609602,-4.5976343,0.61472964,-1.3370955,2.3453538,-1.5634563,-2.0780957,-1.0407798,0.49732316,-4.7446833,2.3677225,-1.7921193,-3.161172,1.4675837,5.325875,1.5255405,1.8134876,2.8596117,1.0319529,-1.8985817,6.053791,-2.6737146,5.2109137,4.25786,2.1162071,-1.212611,-1.111844,-2.2663271
-1.9214493,-2.5636597,1.4358189,-0.5587911,-2.1221042,-0.7601705,-2.7999694,-0.36318663,-2.730005,-4.063968,-1.4405832,3.2555194,3.7298274,-2.1646981,-2.2809784,3.0296004,-6.425009,-1.373413,1.9100622,-1.6047393,-4.622655,4.745838,-3.1529503,0.9437101,4.7483616,-1.9918323,4.9002533,-1.2953954,3.885107,-7.7879477,-0.23538065,-1.0140107
1.2449646,0.38901085,0.59017074,-0.6655875,0.9498534,-3.328852,0.562577,2.9421902,0.7622323,5.2262363,-1.1411912,-0.29949996,1.6587889,1.6520731,1.7235951,-1.6762887,4.343334,-1.7520521,0.0533638,1.1356975,-0.670313,-0.1362887,3.5662212,0.22264974,0.7746614,7.649337,-2.4106169,-2.0366251,-2.314909,2.1799488,-3.8741853,0.51608443
2.9696224,-2.3409407,0.005849898,0.8048719,1.8486252,-1.3910491,-0.08573431,3.3923407,0.9337238,3.3103433,-1.0455909,-0.2246217,0.602382,1.7711393,2.4870052,-0.62512034,5.2357097,-0.8574343,-1.8848262,2.5987415,-0.08228676,-0.6187136,4.844327,0.46908888,-0.024811596,6.7286773,-4.232608,-2.4719682,0.4706074,1.7836896,-2.376621,0.86685157
1.2644992,-1.0125027,2.035257,-1.3334126,2.0473573,-5.8571367,2.770327,1.5463815,3.6181052,4.3776774,-1.4776558,0.026631959,1.486848,-2.3865852,3.2724853,-4.308984,0.039964914,-2.1365588,3.3078609,-0.18561786,0.32377243,2.5797763,5.131027,-0.4832576,2.775813,5.558812,1.059997,0.9426635,1.1162772,1.4927024,-3.097834,-0.7508763
2.673789,-1.2056121,-1.4208318,-0.7533237,0.44785452,-6.96951,3.1103506,0.38104683,4.245137,0.41606578,-2.0150254,-1.6834689,0.28991657,-4.9554167,4.8256154,-3.6529741,0.39414138,0.6806042,4.977759,1.5527253,3.1256657,2.8511348,4.1835675,-1.2870666,5.191002,2.3519292,2.6756048,4.0696483,0.9223208,1.5073789,-2.0190742,-1.265609
2.2046866,-3.6033976,-1.7099932,1.8355908,1.9596727,2.8465838,-1.6460478,2.7386336,-0.35525712,0.08908999,0.85960895,0.33121032,0.8554639,3.2313027,-0.6002653,1.2881992,4.1659365,0.13111317,-3.9398532,3.1068513,-1.0904726,-2.0324109,2.8784823,0.87985677,-0.78834116,2.254985,-3.9630141,-4.0035987,2.6640592,-0.9299857,-0.8740368,1.3082117
0.26614678,-1.1156489,1.6440101,-0.3765813,1.7157798,-5.4679375,1.5766251,2.5593584,3.1746874,4.182821,1.7414014,-0.27696073,-0.28545734,-1.2581375,5.3083954,-1.6513137,3.2107635,-0.23455928,0.6784287,-1.0440587,3.7673817,1.1450944,5.3147116,-2.0086007,0.037018448,5.3141727,-0.051043138,-1.4485193,0.8311756,0.049160697,-2.3479433,1.210608
2.325634,-3.1576872,-4.607384,3.0566754,-3.670916,1.9564791,-1.6268218,2.248928,-0.03873223,-2.866857,-2.3122544,-1.499837,-1.0076182,2.8882596,-1.6565797,-0.42744046,0.45621744,1.1166605,-2.4514687,2.9123359,-1.5054209,-0.9677193,1.5742246,1.1794662,1.079046,-0.70193774,-1.3009608,-2.5518425,3.2541962,-0.9806602,-0.6050402,-0.29567212
0.9810004,-0.5745822,4.4432516,-2.4053435,2.136679,-3.4790077,1.0283726,1.0091337,1.2359169,3.9793913,-1.1076295,2.2594287,3.5959501,-2.0277033,1.3048744,-1.8502477,-2.0264366,-2.8139725,2.5301085,-1.8683279,-1.1856434,3.3300662,3.5644536,0.26775274,2.6384463,4.741409,0.8982339,-0.1991395,2.0178711,-1.6685603,-2.569006,-0.25648805
1.4446826,-0.433558,1.8034841,-0.5685493,1.1837708,-2.9860308,-0.082706094,3.1293,0.86072856,4.761097,-0.3977083,0.60388523,1.5630875,2.0153747,2.0851588,-1.2899406,4.173974,-2.0949497,-1.0404005,0.097655386,-0.5699872,0.09422034,3.958719,0.3148173,-0.23261052,7.4776015,-2.6653428,-3.8204868,-0.3099681,1.0197315,-3.6449974,1.4531739
1.7387007,-0.04971099,3.7047544,-2.3041015,1.096632,-3.3881264,0.8808993,1.0381913,1.0059847,3.5775049,-1.857733,1.9329274,3.6633224,-1.5371917,1.1002797,-2.4603453,-2.0468688,-3.196299,2.1396477,-1.8580563,-1.9148242,3.162579,3.214224,0.60484374,2.599624,4.41881,0.6244168,-0.81493056,1.78127,-1.0216908,-2.9181209,0.14091198
-1.1354617,-0.5569974,-3.280846,-0.3395096,-4.4809732,-4.3434362,0.02406317,-1.759526,2.6115823,-1.6499412,-2.5829902,-1.1260024,0.63188136,-3.4151883,2.469212,-2.7267268,-4.45175,2.8277047,5.782491,2.3937414,1.724702,1.3865365,-0.44879243,-3.3543103,7.129064,-4.231476,6.984635,3.95088,1.1096784,-1.7625052,-2.3491507,-2.8772626
0.9060439,-3.691958,-11.594593,1.3904696,-3.52587,3.2021394,-3.6976097,-5.288495,1.1341788,-8.440168,2.1144085,-10.328261,0.7141454,-1.6181607,-2.637985,9.346384,9.704256,1.5497665,-1.1400881,12.016311,5.0261292,-3.7384617,-3.0654864,-5.038634,3.2187083,-13.619976,2.1077893,0.05272591,-4.39993,-1.7965478,-0.10827327,-2.705685
-1.6458788,-4.1141334,2.4763765,0.28745955,1.1242521,2.802837,-2.89288,3.3352766,-2.451261,-0.22515243,1.2258276,3.7569938,4.0813656,3.323944,-3.0858374,3.8461776,-1.4454715,-1.755523,-2.1213632,-0.32566506,-4.478848,1.3245348,-0.31552497,1.4800191,1.0377486,3.550037,-1.2071575,-5.5027523,4.491211,-6.0282316,-0.3186127,1.1380223
-1.1331508,-2.2916598,1.0598153,-0.8846836,-1.0722064,1.5218287,-1.7730839,1.5873243,-3.0227726,-1.5224694,-3.4146695,4.017055,4.4926534,-0.6605947,-3.958819,1.808243,-6.3195105,-2.0224211,2.8223681,1.3108068,-6.43577,2.8636198,-2.558422,1.9855366,6.7069187,1.3817627,2.7817736,1.4585042,2.4874287,-5.631224,-1.509407,-3.2931733
-2.1458762,-3.4128718,0.27644,2.0121806,0.076541096,1.1861926,-1.3493991,1.2816209,-0.47773397,-1.3735452,-0.24774395,0.78918153,1.0636202,-0.30556715,-1.9078804,2.4151263,-2.1760867,0.4739788,0.9065192,1.3137435,-2.0045435,0.83339083,-0.46287382,0.747571,1.9622272,-0.8062136,1.2237089,0.45957965,3.065304,-3.121562,1.4604871,-1.8351686
1.5087016,-3.213717,1.5713673,0.81241184,2.4051754,0.33680028,-1.6234304,3.4484935,0.4711795,2.7248073,1.0401442,2.013762,0.5286588,2.8882058,2.3932638,0.15595996,4.0545206,-0.887966,-3.7075086,1.1947443,-0.11706418,-1.1027304,4.4064693,0.47058153,-1.2771708,5.451287,-3.828174,-5.5600576,3.2636232,-1.1928258,-1.9786904,2.1846344
2.2325668,-1.8813791,-6.991618,1.1254221,-4.926249,-4.76274,0.99091685,-0.98484874,4.008497,-3.3216124,-3.3127327,-4.952467,-1.6140213,-2.903552,6.0119905,-2.9710753,1.009523,4.879545,3.899794,5.1781416,6.3643284,-0.14852268,2.9326272,-4.4687963,7.241175,-3.8136885,3.8321218,4.1430964,-0.12798098,1.7180234,-2.018714,-1.9451964
1.2149531,-0.3783186,3.689564,-2.1024659,1.230809,-2.9126153,0.55774224,1.1631582,0.6142361,3.648623,-1.9644898,2.2955742,4.044624,-0.9255287,0.56828976,-2.4211493,-2.493517,-3.3573494,2.1542513,-1.6668463,-2.402222,2.9183605,3.0845788,0.6380037,2.7881806,4.672002,0.6185607,-0.91791344,1.7636311,-1.0762781,-2.9444423,-0.015515029
1.0623742,-1.1643088,-2.8869429,0.42738122,-1.5823768,-5.560728,2.274037,0.31788242,3.969244,-0.008867774,-1.0941205,-2.442412,-1.285331,-3.0018039,5.6187754,-3.4651768,0.17206588,2.6907072,3.9368324,1.4591022,5.303677,0.3683553,2.8978996,-3.4639559,4.7297773,0.10882902,3.376649,2.5524263,-0.0109580755,1.0168912,-2.0768766,-0.6964907
-1.3710175,-5.5032806,-4.104699,3.8174443,-1.2290833,3.785059,-3.478828,-1.1157814,-1.8358874,-7.1291103,1.3246527,-2.4139001,1.4985236,-0.15969676,-6.6848493,7.502647,1.415873,-0.34482968,-0.37709665,6.0949135,-2.3847165,-0.4914766,-2.9193907,0.37662852,1.1212986,-7.8496737,1.7641182,-1.551997,1.8731439,-4.537796,3.1194053,-2.3757007
-0.21532996,-4.2664557,-0.23160142,1.4944153,-1.3745519,3.2511792,-2.6737485,3.3454518,-3.2211542,-2.380041,-2.809372,2.5211015,3.8741055,1.599641,-5.581314,3.967359,-3.2675233,-1.1130459,0.18829897,1.9897592,-6.6573157,2.2625964,-1.9534441,3.133151,3.6775627,2.0473084,-0.50716215,-0.66529906,3.932835,-5.1770897,0.30822468,-2.3536096
-0.5710272,0.40217835,3.1623921,-2.6512008,2.8536673,-1.1374848,0.37876165,1.4090835,-0.30104077,3.5435586,-1.7386259,2.7775707,4.3137226,-1.4053334,-0.30555788,-0.14485455,-1.3258181,-2.2043726,3.4687433,0.5066711,-1.9839303,1.8503379,1.4275029,-0.122678265,4.3968697,5.643459,0.5076294,1.9526882,-1.4918104,-2.0587163,-3.0173314,-1.833941
