file,kmeans,agg,birch,consensus,emb_x,emb_y
r\PGC01021_SDSS_r.fits,0,0,0,1,0.22011429,1.898221
r\PGC01619_SDSS_r.fits,3,3,3,1,-2.301141,9.451527
r\PGC02017_SDSS_r.fits,2,2,2,1,-1.6984767,5.8022866
r\PGC02291_SDSS_r.fits,3,3,3,1,-2.8365543,7.2791133
r\PGC02473_SDSS_r.fits,2,0,0,0,-2.0396936,2.763641
r\PGC03232_SDSS_r.fits,2,0,0,0,0.07832981,2.9703076
r\PGC03322_SDSS_r.fits,2,0,0,0,-0.029594595,3.3408256
r\PGC03817_SDSS_r.fits,1,1,1,1,1.552964,3.2361658
r\PGC04386_SDSS_r.fits,0,0,0,1,-4.0793886,3.458009
r\PGC05425_SDSS_r.fits,0,0,0,1,-0.058611784,1.281255
r\PGC05552_SDSS_r.fits,2,2,2,1,-1.1461748,5.102035
r\PGC06265_SDSS_r.fits,2,2,2,1,-0.56389856,5.813166
r\PGC06823_SDSS_r.fits,2,2,2,1,-2.059983,3.9035778
r\PGC07163_SDSS_r.fits,2,2,2,1,-3.31519,4.1615443
r\PGC07760_SDSS_r.fits,1,1,1,1,0.98908776,6.1791124
r\PGC08281_SDSS_r.fits,2,2,2,1,-1.8175454,5.094369
g\PGC09283_SDSS_g.fits,1,1,1,1,1.7220342,7.05198
r\PGC10122_SDSS_r.fits,2,0,0,0,-1.3053336,3.313318
r\PGC10994_SDSS_r.fits,2,2,2,1,-0.7164826,4.9148264
r\PGC11202_SDSS_r.fits,2,0,0,0,-1.1167171,3.4137225
r\PGC14080_SDSS_r.fits,0,0,0,1,-4.235202,3.645595
r\PGC14091_SDSS_r.fits,3,3,3,1,-1.1837682,9.2367
r\PGC15389_SDSS_r.fits,1,1,1,1,1.8230951,3.709043
r\PGC16382_SDSS_r.fits,0,0,0,1,0.3579095,1.618031
r\PGC21291_SDSS_r.fits,0,1,1,0,2.5037956,2.4161508
r\PGC22698_SDSS_r.fits,2,2,2,1,0.21511614,5.4768305
r\PGC23103_SDSS_r.fits,3,0,0,0,-4.3497777,5.202647
r\PGC23643_SDSS_r.fits,2,0,0,0,-0.80653477,3.2185743
r\PGC24532_SDSS_r.fits,2,2,2,1,-3.6261842,5.0152144
r\PGC25225_SDSS_r.fits,1,1,1,1,3.0300028,5.6079154
r\PGC25383_SDSS_r.fits,1,1,1,1,2.0736897,3.3258524
r\PGC27091_SDSS_r.fits,2,0,0,0,-1.1138659,2.4583764
r\PGC28809_SDSS_r.fits,2,2,2,1,-1.2515614,4.1406918
r\PGC30090_SDSS_r.fits,1,1,1,1,0.50751054,7.5644965
r\PGC30832_SDSS_r.fits,3,3,3,1,-0.57498616,9.396553
r\PGC36926_SDSS_r.fits,0,0,0,1,-2.3828416,1.9070169
r\PGC37723_SDSS_r.fits,2,2,2,1,-2.011977,6.3948917
r\PGC38454_SDSS_r.fits,1,1,1,1,2.266169,5.718766
r\PGC38943_SDSS_r.fits,2,0,0,0,-1.1686674,2.9175336
r\PGC39440_SDSS_r.fits,0,0,0,1,-1.3829829,1.6124254
r\PGC42007_SDSS_r.fits,2,2,2,1,-1.6568241,7.133583
r\PGC42529_SDSS_r.fits,2,2,2,1,-0.69254583,6.4508023
r\PGC46229_SDSS_r.fits,2,2,2,1,-1.7362977,6.018783
r\PGC46854_SDSS_r.fits,0,0,0,1,-2.1731443,0.4278912
r\PGC48327_SDSS_r.fits,2,2,2,1,-3.1516767,4.754749
r\PGC49734_SDSS_r.fits,1,1,1,1,0.5172845,6.914695
r\PGC49883_SDSS_r.fits,3,3,3,1,-4.40501,6.388515
r\PGC50080_SDSS_r.fits,3,0,0,0,-4.5544567,4.8199306
r\PGC50995_SDSS_r.fits,2,2,2,1,-3.4350696,5.613696
r\PGC51603_SDSS_r.fits,0,0,0,1,-3.6837893,1.6333609
r\PGC51728_SDSS_r.fits,1,1,1,1,2.1308908,6.2172446
r\PGC51850_SDSS_r.fits,1,1,1,1,1.3808417,6.689856
r\PGC52091_SDSS_r.fits,2,0,0,0,0.20273209,4.1770134
r\PGC52199_SDSS_r.fits,2,2,2,1,-1.4979181,6.5436797
r\PGC52359_SDSS_r.fits,2,2,2,1,-0.45707276,5.0548515
r\PGC53812_SDSS_r.fits,1,1,1,1,2.0718923,5.148465
r\PGC55750_SDSS_r.fits,2,2,2,1,-2.2546864,4.242044
r\PGC55913_SDSS_r.fits,1,3,3,0,0.5510847,8.2288885
r\PGC56898_SDSS_r.fits,0,0,0,1,-4.881268,2.7507687
r\PGC57916_SDSS_r.fits,2,0,0,0,-3.9875846,4.8845806
r\PGC58149_SDSS_r.fits,2,2,2,1,-2.6226969,5.878903
r\PGC58750_SDSS_r.fits,0,0,0,1,-3.4214864,1.5624396
r\PGC59250_SDSS_r.fits,1,1,1,1,2.7340267,4.7611322
r\PGC60693_SDSS_r.fits,1,1,1,1,0.4266947,6.424053
r\PGC69530_SDSS_r.fits,3,3,3,1,0.5179616,8.520248
r\PGC71100_SDSS_r.fits,0,0,0,1,-1.2473156,0.72132134
r\PGC71619_SDSS_r.fits,2,2,2,1,0.78233594,4.332311
r\PGC72182_SDSS_r.fits,1,1,1,1,2.3461468,4.7686024
r\PGC73096_SDSS_r.fits,0,0,0,1,-0.6789311,1.7630234
r\PGC49597_SDSS_r.fits,0,0,0,1,0.55743885,0.6841802
r\PGC60025_SDSS_r.fits,3,3,3,1,-2.2845953,9.506961
