z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
0.7556312,-4.5680385,2.7864802,-0.39784673,-0.33632547,0.03675875,6.1037946,2.4779532,-3.8417945,0.08916613,2.6599655,3.3134596,-0.35672167,4.507742,-2.675232,4.038858
-0.17402476,-4.3919516,-1.5334032,0.5928219,0.9902855,0.17446876,3.75769,4.7861137,-2.994889,0.39745647,5.911229,4.0533404,-2.6750607,-2.1331482,-2.7473872,10.765731
0.199698,-1.4594619,-1.6850659,2.4702005,-0.9435786,-1.5813717,0.06027672,-0.58704454,-2.2835593,-1.4687214,-3.4563427,-0.49679428,-1.7276971,-3.4651027,-2.034403,0.5971587
-1.1989197,2.1873987,-7.8020735,-4.5157022,-5.2948494,-0.4520554,-4.2137804,-8.486402,-0.2969089,-2.776083,-6.5072803,-2.9423807,3.9302068,6.7104745,-1.4677169,-4.0864778
1.8548658,-2.783111,-0.9671744,1.8169264,-2.7668352,-3.0288858,3.82351,0.22916816,-3.2072973,1.2353287,-5.1037054,-0.22604263,-3.7632728,-0.81038475,-5.8050175,-1.2682996
1.5086898,-3.0153172,1.6141226,2.289774,2.500827,-1.1671385,1.0086094,6.35423,-2.314823,1.4736257,5.781631,2.2827382,-1.4838326,-3.5578256,7.444033,4.8488026
3.1709976,-4.9769816,1.5742025,1.054593,1.6179978,-2.7768362,4.452337,4.9541945,-1.9875259,1.7643306,2.387565,4.069495,-3.18066,1.0829918,0.49367324,1.2195212
2.6117132,-3.652677,1.4813623,1.7360195,4.5307684,-2.7165966,1.0467336,3.622184,1.2498375,0.6218536,3.1271262,3.7431974,-1.8676138,-0.21103704,5.0881815,-0.5362942
-1.3648667,0.76699096,-9.66958,-3.7501035,0.1572585,-1.5710096,-3.859813,-6.1563263,6.4836407,-4.9491553,-4.3350472,-4.921719,1.5228118,4.0585284,1.4839942,-2.8875985
-1.652569,2.4105756,-6.448939,-4.303299,-6.358613,0.1914069,-4.962756,-8.904745,-1.9383655,-3.5835555,-6.3104534,-3.4803178,5.471136,7.7464647,-0.78492445,-3.271679
0.05648859,2.581277,-0.039497107,-0.4784603,-1.917567,1.3190457,-5.1740036,-4.573409,-4.917775,-3.6419864,-0.068876565,-5.500839,6.1861997,2.7707877,6.991222,3.1739964
-6.2758055,-2.5964978,0.95099986,3.633522,-3.3475032,-2.9827294,1.623494,2.11304,-4.273139,-4.9490004,1.4157463,-3.1334567,0.036625475,-1.1602774,-6.930957,4.064401
-0.79009724,2.43959,-7.655029,-4.9038906,-7.004758,-0.5936458,-4.522335,-9.878746,-2.9482968,-2.2961745,-7.891918,-1.87458,4.8176174,7.6020308,-2.320691,-5.0350795
0.16412094,2.2713928,2.1453393,-1.5034254,0.590056,1.726946,0.3718897,1.0621978,-4.3157907,1.7214365,5.0333405,-2.1125257,3.1721802,1.06576,6.4083977,4.849496
2.1077595,-2.7290564,-2.558083,3.2276604,0.1223235,-1.9243237,0.919558,2.9996138,-1.9207212,1.1590056,-0.8022892,0.9531065,-4.665658,-6.4594064,-1.2307878,4.281571
1.861352,-2.8959146,3.1475067,-1.9654706,-2.9190683,1.4920119,6.900606,-1.4136374,-5.1465254,1.666187,-1.4511683,1.9999584,0.6717904,7.0278053,-4.353476,3.1414497
4.864538,-1.9352701,-1.6388096,1.3197912,-2.6859694,-0.6200286,4.007108,2.282446,-4.6358633,4.06822,-1.7683725,0.69348896,-6.3107414,-3.7628913,-4.1723137,5.1427326
3.150766,-0.67999417,4.083075,-0.529733,2.502774,-0.48024237,2.6548758,2.6911275,-2.2934873,2.6759074,3.2755952,0.7003796,0.84097004,2.010707,7.4173703,-0.44077125
1.7103056,-4.5103474,-1.5822666,1.5468069,0.82819194,-1.659103,3.2744076,5.5213404,-2.7641487,1.6132964,3.5074859,3.4652715,-4.4469275,-3.2718236,-1.7108781,7.1860538
