z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
-0.70083266,3.3055716,0.96721417,4.6573596,4.192873,-0.5974738,0.3510977,1.2596627,0.24283522,1.5969515,-2.0833251,-2.1421368,2.880379,-2.137652,-2.1851585,0.9802763,0.315367,3.181459,-2.7278566,-6.7071047,-5.043213,0.5130291,-1.1949253,0.97115695,-1.3858507,-3.344382,-1.1892185,-1.6611348,2.0088923,0.3891861,0.8626647,-2.3833923
-0.51211387,1.9284339,0.46685842,4.4122915,2.9595203,1.4567344,-2.7618427,-0.29513228,2.0638025,0.8219257,0.78347665,-1.9879584,1.2183695,-5.272068,-2.9471192,0.28589565,0.3239528,3.6852667,-4.19265,-0.035357237,-9.209851,-4.604402,-1.9554038,0.7704017,-4.5250382,-0.002071619,-2.5663283,-1.2806174,1.3531885,4.3379726,1.2064706,-4.367173
3.8581522,-0.904843,-1.5811139,0.6819533,-4.5159,1.7300661,-3.4187903,-5.5665755,1.0991303,-6.6986876,5.576151,2.0112321,1.701554,-0.9155053,0.71228516,-0.47596526,-2.0720878,-1.1948085,-2.0372858,2.2342017,0.03135188,0.3608021,-1.1767342,1.6281441,1.7949703,1.3685225,-6.697564,3.5543962,-2.30384,-1.8420893,-3.3098125,0.80854905
-1.7074747,-2.6587205,1.0754448,-4.776064,1.2621778,-2.3423939,0.43161276,2.6168623,0.15547925,-2.4845033,-0.83918506,5.3614573,-1.9988335,2.1075807,0.2890069,0.83220613,-0.7486433,-5.0426445,1.9001001,-0.549364,4.8464293,-3.9296596,1.2264494,-2.6204104,11.986385,-3.1196206,-2.33064,0.814883,-1.5195992,-0.10934746,-4.106687,2.183151
-0.69143885,2.2654424,-2.973066,3.3743825,0.03706646,-0.09642744,-1.8275456,-5.457765,0.14646848,-4.7163877,-1.1975191,-1.0306437,3.090895,-1.0147464,1.5316303,1.7318499,0.33789632,-0.6796119,-2.4251032,-2.5019236,-1.5326802,3.8862576,1.7475332,-0.34326345,-1.0400503,-4.10505,-4.6809335,-0.7726659,4.3761525,-0.8320726,-1.064573,-0.13244665
0.48462206,-2.6095822,0.654153,4.0620337,-0.79377586,1.06367,-1.8938212,-0.861853,1.4078652,2.7386093,2.0432935,-0.25540626,-1.5874381,-4.099106,-1.4501671,1.7798014,-2.169696,2.3459024,-0.12266638,3.3033133,-6.447197,-0.5860263,-2.342174,2.8071027,-6.029669,1.8677771,0.16900524,-3.6640468,-4.6584835,-0.7141265,4.3552427,0.16606772
-0.6116539,0.4843418,-0.26718897,5.202594,0.78163016,0.34507278,-2.9466572,-2.4097507,2.0285025,1.5201656,-2.1367679,-1.0924723,1.924244,-3.2366908,-0.9981089,2.60606,-0.7487573,1.1466556,-0.8750339,-0.76573557,-5.4771595,2.7510505,-0.007751286,1.5214612,-5.9194965,-2.7475896,-1.0222207,-4.5119896,0.4476189,-1.650069,3.6959152,-0.5794924
0.5200958,-1.9740222,1.2340441,2.481307,-0.5311339,0.869206,-2.2914872,-1.6388496,1.5567993,1.3390121,-0.35774243,-0.26817304,0.08814852,-1.8548263,-0.08889866,3.1077023,-0.9787065,-0.35961795,2.0992138,1.085125,-3.641622,2.629229,0.13143277,1.7399871,-4.987224,-0.7252687,-0.17218892,-4.701297,-2.6015232,-2.7903,3.764048,1.2996548
-2.0120242,-5.1863422,4.0173626,-4.8310437,1.5598524,-1.2090514,-2.3233056,2.227896,-0.71576244,-0.014452845,1.0861931,5.255664,-4.507515,1.5236962,0.29383525,3.0887818,-3.1283202,-5.528572,4.389379,5.411132,4.050377,-4.453855,2.1319482,-3.6356683,8.430565,-2.2646818,-1.2463472,-1.3852859,-4.1787214,-0.97266734,-1.3113364,2.9332743
-1.2521179,-2.055908,-0.33749017,-5.1619368,0.40746963,-2.9546947,2.2852998,3.1095483,-0.12912962,-2.766633,-1.0740366,6.065959,-1.6903875,2.504333,-0.24801755,-0.22632569,-0.4801916,-3.7139072,1.2587974,-3.111947,5.0280175,-3.9584956,0.76454467,-1.4743097,13.423762,-2.217854,-1.6785891,1.7571821,-1.7683185,-0.54810214,-4.6732535,2.3107731
