z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
0.12226911,0.056123056,-0.24524938,-0.013209693,-0.111357674,0.014837457,0.21098754,0.093300134,0.040522955,-0.071738854,-0.039597705,-0.00851585,0.00720808,0.07115371,-0.21339384,-0.030036114,-0.02152028,-0.024747781,0.16874442,0.11228465,0.32607138,-0.31639117,-0.16579051,0.19104332,0.23432125,0.13174747,0.049606428,0.22382852,0.042507745,0.061076075,0.13228202,0.0056411847,0.025216822,0.08951807,0.23023921,-0.04880599,0.13030837,0.080885194,0.051333398,0.2672143,0.2674328,-0.06453094,0.02421616,0.022956572,-0.29727998,0.0602251,-0.051327534,-0.023224866,-0.07535654,0.17362444,0.073824644,-0.03424422,0.11230164,-0.25610408,-0.019060753,-0.10339506,-0.16119242,0.012477234,0.0022596745,0.10359047,0.16136034,0.17950664,0.06291755,-0.09388999
0.17495069,0.062128402,-0.29123873,-0.1057859,-0.18615857,0.048219502,0.40475184,0.18387546,0.043016937,-0.082352966,0.0038350709,0.06098617,0.10912429,0.12264352,-0.31896308,0.04129494,-0.038327463,-0.16202141,0.1495294,-0.009622671,0.59772813,-0.36666173,-0.21279734,0.3064632,0.3686351,0.19901887,-0.0016643405,0.2610343,0.028769918,0.16170317,0.17480686,0.077447645,0.008248889,0.12789798,0.22246209,-0.10485375,0.11086438,0.13487628,-0.05525615,0.41366798,0.3391744,0.007290708,0.09216744,-0.03439981,-0.32520103,0.13891588,-0.074889615,-0.055308886,-0.133519,0.16406456,0.12253304,-0.06840317,-0.0028357022,-0.31498122,0.045719415,-0.054061238,-0.3670993,0.013746314,-0.07576965,0.06986163,0.24657398,0.17740622,-0.07283539,-0.17877878
-0.29374963,0.00694477,-0.019006226,0.034811385,0.052854057,0.10296716,0.20041391,0.0002957522,0.14163104,0.039367504,0.076197475,-0.075598195,-0.03928645,0.009906782,-0.016696617,0.0316244,-0.056512613,0.012924045,0.022075836,-0.36523408,0.28415984,-0.01258911,0.07695011,0.0443352,0.21052152,0.04814566,-0.043744914,0.014218725,0.008497167,-0.22494522,0.18513893,-0.038708627,-0.07389386,-0.17245673,-0.20616484,-0.15118277,0.19597073,-0.24657111,-0.15531012,-0.16005284,-0.18065485,0.014305897,0.06337936,-0.032132633,-0.05267691,0.066196725,-0.16382176,0.18153213,-0.028070446,-0.11307678,0.0943409,-0.027651127,-0.07118275,-0.011266902,0.2980712,-0.017482035,0.21251346,0.0448844,-0.15275507,0.118331805,-0.034446303,0.06931024,-0.049885258,0.03244997
0.022904918,-1.0419939,0.042298436,-0.35113487,0.9747622,0.67028844,-0.15658742,-0.52232736,1.08023,0.87426513,0.48105618,-0.89388525,-0.2588138,-1.0998194,0.7101602,-0.30383372,-0.5104393,-0.44262508,0.47852913,-0.22021219,-0.4027821,0.074450076,-0.04402119,-0.11974947,-1.3281449,0.35763228,-1.5649965,-0.119040355,0.6323752,0.17292641,0.47282147,-0.45055115,0.2884477,-0.7901351,-0.13206434,0.10017614,-0.38404095,-0.9932385,-0.14902349,-0.50603354,-0.875649,0.121352285,0.15866022,0.07857829,0.6514291,-1.1709895,0.5756308,0.7083974,-0.43673086,-0.65787554,-0.78888124,-0.05217406,-0.11281313,0.46676233,0.22680093,0.05012884,1.8534142,0.09151436,0.2284387,0.48996457,-0.32070464,-0.3876231,-0.3247198,-0.6374283
-0.23006782,0.055039536,-0.046861727,-0.014292471,-0.05372327,0.015279995,0.10783005,0.078809455,-0.014165952,-0.11691142,0.08540134,-0.01890508,0.009649303,0.09797841,-0.047658898,-0.06626094,-0.08486967,0.04927092,0.12590885,-0.15680459,0.31989697,-0.10468826,-0.011610683,0.20030452,0.17987072,0.01034322,-0.02085741,0.07706262,-0.022549637,-0.12905265,0.16525294,-0.08247985,-0.012247596,-0.062318567,-0.015385895,0.025064763,0.16699524,-0.12474009,-0.10555937,-0.16790819,-0.0027360246,0.09394513,0.09872046,-0.05330687,-0.13362327,0.14026976,-0.19712584,0.19476902,-0.019341247,-0.0051835924,0.047627408,-0.0063056983,-0.082262024,-0.07239801,0.21496522,0.033923686,0.07679247,0.06698995,-0.08402875,0.019221824,0.089961976,0.07816295,-0.13948624,-0.022918222
0.41793674,-0.18034217,-0.18608825,0.14306681,-0.06496479,-0.02820383,0.3524239,0.1489276,0.0072757155,0.048446633,-0.1792926,0.04773444,0.1665461,0.13763368,-0.28940326,0.117393844,-0.07608591,-0.054787494,0.2941926,-0.12858528,0.5311041,-0.26671377,-0.0693576,0.16452888,0.311893,0.19303173,0.10426475,0.19583729,-0.04502283,0.09511818,0.2692558,0.055461526,-0.10295437,0.0049557313,0.22680879,-0.07228495,0.06792298,0.07399001,-0.04590338,0.37517625,0.23648454,-0.10432035,0.12014853,0.004374411,-0.3767118,0.16013226,-0.04098071,-0.094559625,-0.018540855,0.25523037,0.16374148,-0.023944542,0.11574753,-0.28187746,0.015046325,-0.12382939,-0.24638608,0.087105654,-0.12892179,0.08195446,0.1413191,0.23265289,0.0054991245,-0.015293334
0.29795635,-0.08446872,-0.14487937,0.039139457,-0.09847407,-0.03210345,0.22643556,0.089606084,-0.11626944,0.015098857,-0.16694723,0.20506826,0.19704184,0.151522,-0.32933033,0.11467659,-0.07671379,-0.02363169,0.18019603,-0.087860376,0.5327849,-0.22854134,-0.08184977,0.2162542,0.3140695,0.20974031,0.093538746,0.12072068,-0.009523287,0.14871867,0.22212432,0.13735242,0.020619482,-0.02201879,0.24586761,0.07255466,0.17522885,0.04189628,-0.08424251,0.35228577,0.16793668,-0.12978643,0.19092026,0.025788758,-0.30795634,0.15167448,-0.13120529,0.031663246,-0.012428772,0.2325954,0.12711382,-0.07286082,0.13483912,-0.2197975,0.0853802,-0.10537541,-0.17462553,0.020665627,-0.13459179,0.11338899,0.22352797,0.19340134,-0.0819093,-0.015123364
0.22298045,-0.18071342,-0.19022097,0.15305968,-0.055877548,0.0073616467,0.23155203,0.083196804,-0.062102266,0.041219234,-0.08504099,0.17934455,0.13180798,0.09706653,-0.2555604,0.17996156,-0.101796664,0.022050988,0.19425684,-0.08934745,0.37218833,-0.16240083,-0.022328712,0.10160774,0.19863461,0.20355177,0.065975085,0.052459512,-0.0070192963,0.0800775,0.25357366,0.11153045,-0.025559051,0.0015217289,0.14362492,-0.056671917,0.14317685,0.033843394,-0.029685901,0.24707566,0.13149448,-0.09607816,0.14385779,0.044472158,-0.22175975,0.11914706,-0.07021823,0.04407042,0.038381305,0.13607763,0.065002546,-0.054883957,0.09234846,-0.2035722,0.05280235,-0.13694458,-0.06020741,0.074961275,-0.10417146,0.17791814,0.14698908,0.18833452,-0.034070436,0.066076756
0.11457143,-0.8493284,-0.03696564,-0.10864514,0.7933775,0.5955415,-0.23124556,-0.4714954,1.0110465,0.7815641,0.35344076,-0.6397865,-0.21630026,-0.90924513,0.4487448,-0.34554842,-0.38461268,-0.39285085,0.4255669,-0.16304031,-0.38861609,-0.10592351,-0.0153144,-0.13179134,-1.0772266,0.3579153,-1.2653985,-0.07585977,0.5637274,0.23372668,0.6021807,-0.24238287,0.30695093,-0.7080711,-0.15399945,0.06540121,-0.38986018,-0.8740649,0.01769483,-0.53192186,-0.5953212,0.033801075,0.25631964,0.06372535,0.53257453,-0.9509571,0.4327167,0.6477237,-0.4701048,-0.58696896,-0.6204514,0.082465574,-0.14223766,0.51055443,0.24939136,0.18646628,1.5141728,-0.0019187778,0.17510143,0.31734663,-0.46628407,-0.20253861,-0.25511488,-0.5900144
0.042701244,-1.0225338,0.006794274,-0.39585543,0.9538579,0.6349321,-0.2065523,-0.5518354,1.1006339,0.90966105,0.48456097,-0.91257465,-0.29733062,-1.1595054,0.7848393,-0.24731556,-0.56077206,-0.45845446,0.4706565,-0.19543914,-0.40211552,0.131726,-0.01312995,-0.19365042,-1.3701048,0.3903782,-1.5926199,-0.088322684,0.6798495,0.22999173,0.47994494,-0.54013985,0.29553586,-0.82024103,-0.1273394,0.08345108,-0.35379812,-0.9533913,-0.1371806,-0.5442283,-0.84476256,0.10596972,0.15600918,0.035956234,0.6788725,-1.2480452,0.66711855,0.68525726,-0.37688634,-0.6501973,-0.7707379,-0.042945027,-0.065804645,0.40861088,0.19548367,0.078698926,1.8725353,0.16604419,0.23237815,0.50424474,-0.34321648,-0.36494878,-0.33392596,-0.57457
0.140569,-0.36104298,-0.025241673,-0.21996668,0.4340642,0.37018102,-0.0447272,-0.13855346,0.5706875,0.3858106,0.19669446,-0.53446645,-0.14947978,-0.6179327,0.31439075,0.07224621,-0.37636998,-0.13701883,0.2545655,-0.13620372,-0.1377736,0.1099882,0.06683942,-0.22105728,-0.5753235,0.007989682,-0.57731926,0.1516723,0.41268867,0.23340932,0.14719862,-0.47667894,0.071876794,-0.24409176,-0.10928781,-0.012831628,-0.30395097,-0.45785168,0.070972994,-0.19805099,-0.33518752,-0.0270174,-0.052472576,-0.017285764,0.24306889,-0.40961277,0.24880987,0.25945508,-0.09181349,-0.27208528,-0.31394294,-0.011576802,0.070456415,0.27620113,0.13696015,0.072950125,0.67394936,0.10501831,-0.12941684,0.15805599,-0.19706076,0.0015276968,-0.029359605,-0.17395827
